Sample,Condition,Tracer,compound,datatype,value
C17 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,FracCont,0.376208997
C17 Trac2,Control,13C6 Nutrient2,GDP-Fucose,FracCont,-0.007454502
C6 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,FracCont,0.014155078
C6 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,FracCont,0.008583498
C6 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,FracCont,-0.045058731
C6 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,FracCont,0.063903595
C6 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,FracCont,0.865330548
C6 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,FracCont,0.336700337
C6 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,FracCont,1.01010101
C6 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",FracCont,0.6716926
C6 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",FracCont,1.01010101
C6 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",FracCont,0.014111221
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,FracCont,0.591481253
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,FracCont,0.370325319
C6 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,FracCont,0.329680295
C6 Trac1,Control,13C6 Nutrient1,GDP-Fucose,FracCont,0.683656275
C6 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,FracCont,0.973540397
C6 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,FracCont,0.98441318
C6 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,FracCont,1.01010101
C6 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,FracCont,0.930397055
C6 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,FracCont,0.164204804
C6 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,FracCont,0
C6 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,FracCont,-0.045058731
C6 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",FracCont,0.099234268
C6 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",FracCont,-0.020578201
C6 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",FracCont,0.951190413
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,FracCont,0.02499215
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,FracCont,0.356072684
C6 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,FracCont,0.396556042
C6 Trac2,Control,13C6 Nutrient2,GDP-Fucose,FracCont,-0.009669445
C11 Trac1,Control,13C6 Nutrient1,Fructose-6-phosphate,FracCont,0.043314949
C11 Trac1,Control,13C6 Nutrient1,Galactose-1-phosphate,FracCont,0.019460803
C11 Trac1,Control,13C6 Nutrient1,Galactose-6-phosphate,FracCont,-0.030039154
C11 Trac1,Control,13C6 Nutrient1,Glucose-1-phosphate,FracCont,0.138415967
C11 Trac1,Control,13C6 Nutrient1,Glucose-6-phosphate,FracCont,0.835612661
C11 Trac1,Control,13C6 Nutrient1,Mannose-1-phosphate,FracCont,1.01010101
C11 Trac1,Control,13C6 Nutrient1,Mannose-6-phosphate,FracCont,0.985562566
C11 Trac1,Control,13C6 Nutrient1,"Fructose 1,6-bisphosphate",FracCont,0.872507011
C11 Trac1,Control,13C6 Nutrient1,"Fructose 2,6-bisphosphate possibly1",FracCont,1.01010101
C11 Trac1,Control,13C6 Nutrient1,"Glucose 1,6-bisphosphate",FracCont,0.025155403
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate-N-acetylglucosamine,FracCont,0.594426421
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate glucuronic acid,FracCont,0.38406883000000003
C11 Trac1,Control,13C6 Nutrient1,Uridine diphosphate hexose,FracCont,0.346187345
C11 Trac1,Control,13C6 Nutrient1,GDP-Fucose,FracCont,0.667557999
C11 Trac2,Control,13C6 Nutrient2,Fructose-6-phosphate,FracCont,0.929113222
C11 Trac2,Control,13C6 Nutrient2,Galactose-1-phosphate,FracCont,0.975200608
C11 Trac2,Control,13C6 Nutrient2,Galactose-6-phosphate,FracCont,1.01010101
C11 Trac2,Control,13C6 Nutrient2,Glucose-1-phosphate,FracCont,0.864272796
C11 Trac2,Control,13C6 Nutrient2,Glucose-6-phosphate,FracCont,0.151033495
C11 Trac2,Control,13C6 Nutrient2,Mannose-1-phosphate,FracCont,-0.043239734
C11 Trac2,Control,13C6 Nutrient2,Mannose-6-phosphate,FracCont,-0.045058731
C11 Trac2,Control,13C6 Nutrient2,"Fructose 1,6-bisphosphate",FracCont,0.075093674
C11 Trac2,Control,13C6 Nutrient2,"Fructose 2,6-bisphosphate possibly1",FracCont,-0.020578201
C11 Trac2,Control,13C6 Nutrient2,"Glucose 1,6-bisphosphate",FracCont,0.932933536
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate-N-acetylglucosamine,FracCont,0.021683718
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate glucuronic acid,FracCont,0.327893436
C11 Trac2,Control,13C6 Nutrient2,Uridine diphosphate hexose,FracCont,0.374631516
C11 Trac2,Control,13C6 Nutrient2,GDP-Fucose,FracCont,-0.006140017
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,Abund,144867922.8
P3 Trac1,PGM1-CDG,13C6 Nutrient1,Fructose-6-phosphate,NormAbund,144867922.8
