Sample,cohort,compound,datatype,value
MCF002044_001,0,3-DL-Hydroxybutyric acid,Abund,2350243.119357774
MCF002044_001,0,3-DL-Hydroxybutyric acid,BlankcorAbund,348638.3654470858
MCF002044_001,0,3-DL-Hydroxybutyric acid,NormAbund,697276.7308941716
MCF002044_001,0,DL-2-Hydroxyglutaric acid,Abund,872736.7038126001
MCF002044_001,0,DL-2-Hydroxyglutaric acid,BlankcorAbund,841282.9166183438
MCF002044_001,0,DL-2-Hydroxyglutaric acid,NormAbund,1682565.8332366876
MCF002044_001,0,Oxoadipic acid,Abund,0
MCF002044_001,0,Oxoadipic acid,BlankcorAbund,0
MCF002044_001,0,Oxoadipic acid,NormAbund,0
MCF002044_001,0,(S)-a-Acetolactic Acid,Abund,0
MCF002044_001,0,(S)-a-Acetolactic Acid,BlankcorAbund,0
MCF002044_001,0,(S)-a-Acetolactic Acid,NormAbund,0
MCF002044_001,0,"2,3-dihydroxyisovalerate",Abund,0
MCF002044_001,0,"2,3-dihydroxyisovalerate",BlankcorAbund,0
MCF002044_001,0,"2,3-dihydroxyisovalerate",NormAbund,0
MCF002044_001,0,2-isopropylmalic acid,Abund,0
MCF002044_001,0,2-isopropylmalic acid,BlankcorAbund,0
MCF002044_001,0,2-isopropylmalic acid,NormAbund,0
MCF002044_001,0,a-Ketobutyric acid,Abund,0
MCF002044_001,0,a-Ketobutyric acid,BlankcorAbund,-364265.91866605467
MCF002044_001,0,a-Ketobutyric acid,NormAbund,-728531.8373321093
MCF002044_001,0,Fucose,Abund,98330.57384999598
MCF002044_001,0,Fucose,BlankcorAbund,98330.57384999598
MCF002044_001,0,Fucose,NormAbund,196661.14769999197
MCF002044_001,0,Galacturonic acid,Abund,51843.82703759462
MCF002044_001,0,Galacturonic acid,BlankcorAbund,51843.82703759462
MCF002044_001,0,Galacturonic acid,NormAbund,103687.65407518925
MCF002044_001,0,Glucuronic acid,Abund,798121.1849768907
MCF002044_001,0,Glucuronic acid,BlankcorAbund,798121.1849768907
MCF002044_001,0,Glucuronic acid,NormAbund,1596242.3699537814
MCF002044_001,0,Mannitol,Abund,23911.97374865138
MCF002044_001,0,Mannitol,BlankcorAbund,23911.97374865138
MCF002044_001,0,Mannitol,NormAbund,47823.94749730276
MCF002044_001,0,Sorbitol,Abund,4472067.764602231
MCF002044_001,0,Sorbitol,BlankcorAbund,4387810.936345056
MCF002044_001,0,Sorbitol,NormAbund,8775621.872690111
MCF002044_002,0,13C5-D5-15N Glutamic acid,Abund,6240796
MCF002044_002,0,13C5-D5-15N Glutamic acid,BlankcorAbund,6240796
MCF002044_002,0,13C5-D5-15N Glutamic acid,NormAbund,12481592
MCF002044_002,0,D7-Glucose,Abund,1309357568
MCF002044_002,0,D7-Glucose,BlankcorAbund,1308452325.8133333
MCF002044_002,0,D7-Glucose,NormAbund,2616904651.6266665
MCF002044_002,0,Myristic acid d27,Abund,2477026
MCF002044_002,0,Myristic acid d27,BlankcorAbund,663642.5800000001
MCF002044_002,0,Myristic acid d27,NormAbund,1327285.1600000001
MCF002044_002,0,2-Phosphoglyceric acid,Abund,228448.1479316067
MCF002044_002,0,2-Phosphoglyceric acid,BlankcorAbund,228448.1479316067
MCF002044_002,0,2-Phosphoglyceric acid,NormAbund,456896.2958632134
MCF002044_002,0,(2 and/or 3-)Phosphoglyceric acid,Abund,4172890.104735001
MCF002044_002,0,(2 and/or 3-)Phosphoglyceric acid,BlankcorAbund,4172890.104735001
MCF002044_002,0,(2 and/or 3-)Phosphoglyceric acid,NormAbund,8345780.209470002
MCF002044_002,0,D-Glyceraldehyde 3-phosphate,Abund,144837.7430999489
MCF002044_002,0,D-Glyceraldehyde 3-phosphate,BlankcorAbund,144837.7430999489
MCF002044_002,0,D-Glyceraldehyde 3-phosphate,NormAbund,289675.4861998978
MCF002044_002,0,Dihydroxyacetone phosphate,Abund,753722.6545629215
MCF002044_002,0,Dihydroxyacetone phosphate,BlankcorAbund,753722.6545629215
MCF002044_002,0,Dihydroxyacetone phosphate,NormAbund,1507445.309125843
MCF002044_002,0,Glycerol 3-phosphate,Abund,24402444.4953758
MCF002044_002,0,Glycerol 3-phosphate,BlankcorAbund,24399575.4837061
MCF002044_002,0,Glycerol 3-phosphate,NormAbund,48799150.9674122
MCF002044_002,0,Hexose-phosphate,Abund,1530600.881739463
MCF002044_002,0,Hexose-phosphate,BlankcorAbund,1530600.881739463
MCF002044_002,0,Hexose-phosphate,NormAbund,3061201.763478926
MCF002044_002,0,Hexose,Abund,8433312631.315703
MCF002044_002,0,Hexose,BlankcorAbund,8426079944.873702
MCF002044_002,0,Hexose,NormAbund,16852159889.747404
MCF002044_002,0,L-Lactic acid,Abund,26708511.28326859
MCF002044_002,0,L-Lactic acid,BlankcorAbund,21413429.1418709
MCF002044_002,0,L-Lactic acid,NormAbund,42826858.2837418
MCF002044_002,0,Phosphoenolpyruvic acid,Abund,781170.1681651856
MCF002044_002,0,Phosphoenolpyruvic acid,BlankcorAbund,781170.1681651856
MCF002044_002,0,Phosphoenolpyruvic acid,NormAbund,1562340.3363303712
MCF002044_002,0,Pyruvic acid,Abund,201959.2510685095
MCF002044_002,0,Pyruvic acid,BlankcorAbund,107754.10810535368
MCF002044_002,0,Pyruvic acid,NormAbund,215508.21621070735
MCF002044_002,0,Citric acid,Abund,8541563.152013404
MCF002044_002,0,Citric acid,BlankcorAbund,8411307.620003482
MCF002044_002,0,Citric acid,NormAbund,16822615.240006965
MCF002044_002,0,Fumaric acid,Abund,1294607.431255738
MCF002044_002,0,Fumaric acid,BlankcorAbund,908383.6838731214
MCF002044_002,0,Fumaric acid,NormAbund,1816767.3677462428
MCF002044_002,0,L-Malic acid,Abund,27990562.71465068
MCF002044_002,0,L-Malic acid,BlankcorAbund,27638442.606283147
MCF002044_002,0,L-Malic acid,NormAbund,55276885.212566294
MCF002044_002,0,Oxoglutaric acid,Abund,783921.1523227608
MCF002044_002,0,Oxoglutaric acid,BlankcorAbund,783921.1523227608
MCF002044_002,0,Oxoglutaric acid,NormAbund,1567842.3046455216
MCF002044_002,0,Succinic acid,Abund,10875493.25335012
MCF002044_002,0,Succinic acid,BlankcorAbund,8297048.968396628
MCF002044_002,0,Succinic acid,NormAbund,16594097.936793257
MCF002044_002,0,Glycine,Abund,28590974.46876326
MCF002044_002,0,Glycine,BlankcorAbund,26402003.522272274
MCF002044_002,0,Glycine,NormAbund,52804007.04454455
MCF002044_002,0,L-Alanine,Abund,14321695.00247068
MCF002044_002,0,L-Alanine,BlankcorAbund,12554833.795637721
MCF002044_002,0,L-Alanine,NormAbund,25109667.591275442
MCF002044_002,0,L-Asparagine,Abund,100983.4173633138
MCF002044_002,0,L-Asparagine,BlankcorAbund,71715.87296545987
MCF002044_002,0,L-Asparagine,NormAbund,143431.74593091974
MCF002044_002,0,L-Aspartic acid,Abund,29836653.61648346
MCF002044_002,0,L-Aspartic acid,BlankcorAbund,29836653.61648346
MCF002044_002,0,L-Aspartic acid,NormAbund,59673307.23296692
MCF002044_002,0,L-Cysteine,Abund,2068493.502041934
MCF002044_002,0,L-Cysteine,BlankcorAbund,2052874.1669990546
MCF002044_002,0,L-Cysteine,NormAbund,4105748.333998109
MCF002044_002,0,L-Glutamic acid,Abund,63776375.00363443
MCF002044_002,0,L-Glutamic acid,BlankcorAbund,63776375.00363443
MCF002044_002,0,L-Glutamic acid,NormAbund,127552750.00726886
MCF002044_002,0,L-Isoleucine,Abund,2148727.945466421
MCF002044_002,0,L-Isoleucine,BlankcorAbund,1489968.2400065912
MCF002044_002,0,L-Isoleucine,NormAbund,2979936.4800131824
MCF002044_002,0,L-Leucine,Abund,1299695.459566464
MCF002044_002,0,L-Leucine,BlankcorAbund,1098469.200356382
MCF002044_002,0,L-Leucine,NormAbund,2196938.400712764
MCF002044_002,0,L-Lysine,Abund,790399.4083621183
MCF002044_002,0,L-Lysine,BlankcorAbund,790399.4083621183
MCF002044_002,0,L-Lysine,NormAbund,1580798.8167242366
MCF002044_002,0,L-Methionine,Abund,2310365.237251159
MCF002044_002,0,L-Methionine,BlankcorAbund,2282959.2376206797
MCF002044_002,0,L-Methionine,NormAbund,4565918.475241359
MCF002044_002,0,L-Phenylalanine,Abund,2293289.701670855
MCF002044_002,0,L-Phenylalanine,BlankcorAbund,2293289.701670855
MCF002044_002,0,L-Phenylalanine,NormAbund,4586579.40334171
MCF002044_002,0,L-Proline,Abund,2327220.091121517
MCF002044_002,0,L-Proline,BlankcorAbund,2323700.6561950245
MCF002044_002,0,L-Proline,NormAbund,4647401.312390049
MCF002044_002,0,L-Serine,Abund,0
MCF002044_002,0,L-Serine,BlankcorAbund,0
MCF002044_002,0,L-Serine,NormAbund,0
MCF002044_002,0,L-Threonine,Abund,2007343.66207751
MCF002044_002,0,L-Threonine,BlankcorAbund,1893199.5457668211
MCF002044_002,0,L-Threonine,NormAbund,3786399.0915336423
MCF002044_002,0,L-Tryptophan,Abund,225634.4093127656
MCF002044_002,0,L-Tryptophan,BlankcorAbund,225634.4093127656
MCF002044_002,0,L-Tryptophan,NormAbund,451268.8186255312
MCF002044_002,0,L-Tyrosine,Abund,157742.8718330607
MCF002044_002,0,L-Tyrosine,BlankcorAbund,157742.8718330607
MCF002044_002,0,L-Tyrosine,NormAbund,315485.7436661214
MCF002044_002,0,L-Valine,Abund,4540773.737966261
MCF002044_002,0,L-Valine,BlankcorAbund,4149906.43833976
MCF002044_002,0,L-Valine,NormAbund,8299812.87667952
MCF002044_002,0,Myristic acid,Abund,3251799.520075316
MCF002044_002,0,Myristic acid,BlankcorAbund,-1568519.4472624254
MCF002044_002,0,Myristic acid,NormAbund,-3137038.894524851
MCF002044_002,0,Palmitic acid,Abund,212819623.4733202
MCF002044_002,0,Palmitic acid,BlankcorAbund,-60219933.149577916
MCF002044_002,0,Palmitic acid,NormAbund,-120439866.29915583
MCF002044_002,0,Stearic acid,Abund,95246272.65169358
MCF002044_002,0,Stearic acid,BlankcorAbund,2929533.482710436
MCF002044_002,0,Stearic acid,NormAbund,5859066.965420872
MCF002044_002,0,Fructose,Abund,7536309.252884766
MCF002044_002,0,Fructose,BlankcorAbund,6937535.08854078
MCF002044_002,0,Fructose,NormAbund,13875070.17708156
MCF002044_002,0,Glucose,Abund,6670321487.960841
MCF002044_002,0,Glucose,BlankcorAbund,6668877907.084047
MCF002044_002,0,Glucose,NormAbund,13337755814.168095
MCF002044_002,0,Pentose-phosphate,Abund,8978064.203507083
MCF002044_002,0,Pentose-phosphate,BlankcorAbund,8978064.203507083
MCF002044_002,0,Pentose-phosphate,NormAbund,17956128.407014165
MCF002044_002,0,Myo-inositol,Abund,145786875.9760904
MCF002044_002,0,Myo-inositol,BlankcorAbund,145774622.1468127
MCF002044_002,0,Myo-inositol,NormAbund,291549244.2936254
MCF002044_002,0,2-DL-Hydroxybutyric acid,Abund,70765.4339750567
MCF002044_002,0,2-DL-Hydroxybutyric acid,BlankcorAbund,-2450.162112749298
MCF002044_002,0,2-DL-Hydroxybutyric acid,NormAbund,-4900.324225498596
MCF002044_002,0,3-DL-Hydroxybutyric acid,Abund,2841459.426789418
MCF002044_002,0,3-DL-Hydroxybutyric acid,BlankcorAbund,839854.6728787296
MCF002044_002,0,3-DL-Hydroxybutyric acid,NormAbund,1679709.3457574593
MCF002044_002,0,DL-2-Hydroxyglutaric acid,Abund,1688813.656038816
MCF002044_002,0,DL-2-Hydroxyglutaric acid,BlankcorAbund,1657359.8688445599
MCF002044_002,0,DL-2-Hydroxyglutaric acid,NormAbund,3314719.7376891198
MCF002044_002,0,Oxoadipic acid,Abund,27179.99581857619
MCF002044_002,0,Oxoadipic acid,BlankcorAbund,27179.99581857619
MCF002044_002,0,Oxoadipic acid,NormAbund,54359.99163715238
MCF002044_002,0,(S)-a-Acetolactic Acid,Abund,0
MCF002044_002,0,(S)-a-Acetolactic Acid,BlankcorAbund,0
MCF002044_002,0,(S)-a-Acetolactic Acid,NormAbund,0
MCF002044_002,0,"2,3-dihydroxyisovalerate",Abund,0
MCF002044_002,0,"2,3-dihydroxyisovalerate",BlankcorAbund,0
MCF002044_002,0,"2,3-dihydroxyisovalerate",NormAbund,0
MCF002044_002,0,2-isopropylmalic acid,Abund,0
MCF002044_002,0,2-isopropylmalic acid,BlankcorAbund,0
MCF002044_002,0,2-isopropylmalic acid,NormAbund,0
MCF002044_002,0,a-Ketobutyric acid,Abund,1119318.492599124
MCF002044_002,0,a-Ketobutyric acid,BlankcorAbund,755052.5739330694
MCF002044_002,0,a-Ketobutyric acid,NormAbund,1510105.1478661387
MCF002044_002,0,Fucose,Abund,249104.2182571167
MCF002044_002,0,Fucose,BlankcorAbund,249104.2182571167
MCF002044_002,0,Fucose,NormAbund,498208.4365142334
MCF002044_002,0,Galacturonic acid,Abund,24231.99287003068
MCF002044_002,0,Galacturonic acid,BlankcorAbund,24231.99287003068
MCF002044_002,0,Galacturonic acid,NormAbund,48463.98574006136
MCF002044_002,0,Glucuronic acid,Abund,963127.5015815442
