"","compound","datatype","cohort","P_RA","Abund","Labeling","Fraction","label_cont","P_FC","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"63","Glycine","FracCont","0.5",0.089831536956674,0.892191815628328,"Labeled",0,0,1,"0%",0,0,"P_FC=1","pRA=0.09"
"64","Glycine","FracCont","0.5",0.089831536956674,0.892191815628328,"Unlabeled",0.892191815628328,1,NA,"",0,0,"","pRA=0.09"
"65","Glycine","FracCont","1",0.0300937420000719,1,"Labeled",0,0,1,"0%",0,0,"P_FC=1","pRA=0.03*"
"66","Glycine","FracCont","1",0.0300937420000719,1,"Unlabeled",1,1,NA,"",0,0,"","pRA=0.03*"
"67","Hexose","FracCont","0.5*",0.247815679380336,1,"Labeled",1,1,0.0495346134356268,"100%",0,0,"P_FC=0.05*","pRA=0.25"
"68","Hexose","FracCont","0.5*",0.247815679380336,1,"Unlabeled",0,0,NA,"",0,0,"","pRA=0.25"
"69","Hexose","FracCont","1*",0.555542669855482,0.836313279418389,"Labeled",0.836313279418389,1,0.0495346134356268,"100%",0,0,"P_FC=0.05*","pRA=0.56"
"70","Hexose","FracCont","1*",0.555542669855482,0.836313279418389,"Unlabeled",0,0,NA,"",0,0,"","pRA=0.56"
"71","Hexose-phosphate","FracCont","0.5*",0.00247809155173732,0.668590821867526,"Labeled",0.132574188260604,0.198,0.0495346134356268,"19.8%",0,0,"P_FC=0.05*","pRA=0*"
"72","Hexose-phosphate","FracCont","0.5*",0.00247809155173732,0.668590821867526,"Unlabeled",0.536016633606923,0.802,NA,"",0,0,"","pRA=0*"
"73","Hexose-phosphate","FracCont","1*",0.000115763510357043,1,"Labeled",0.149368944060171,0.149,0.0495346134356268,"14.9%",0,0,"P_FC=0.05*","pRA=0*"
"74","Hexose-phosphate","FracCont","1*",0.000115763510357043,1,"Unlabeled",0.850631055939829,0.851,NA,"",0,0,"","pRA=0*"
"75","L-Alanine","FracCont","0.5*",0.0139108063753571,0.63172885367416,"Labeled",0.00492642022324061,0.008,0.512690760261924,"0.8%",0,0,"P_FC=0.51","pRA=0.01*"
"76","L-Alanine","FracCont","0.5*",0.0139108063753571,0.63172885367416,"Unlabeled",0.626802433450919,0.992,NA,"",0,0,"","pRA=0.01*"
"77","L-Alanine","FracCont","1*",0.000341959722610773,1,"Labeled",0.0231489392231548,0.023,0.0495346134356268,"2.3%",0,0,"P_FC=0.05*","pRA=0*"
"78","L-Alanine","FracCont","1*",0.000341959722610773,1,"Unlabeled",0.976851060776845,0.977,NA,"",0,0,"","pRA=0*"
"79","L-Asparagine","FracCont","0.5",0.766676025000495,0.728047412591178,"Labeled",0.0449280076302023,0.062,0.827259346562712,"6.2%",0,0,"P_FC=0.83","pRA=0.77"
"80","L-Asparagine","FracCont","0.5",0.766676025000495,0.728047412591178,"Unlabeled",0.683119404960976,0.938,NA,"",0,0,"","pRA=0.77"
"81","L-Asparagine","FracCont","1",0.558320633818874,0.457368388904609,"Labeled",0.0455834495201011,0.1,0.275233524074834,"10%",0,0,"P_FC=0.28","pRA=0.56"
"82","L-Asparagine","FracCont","1",0.558320633818874,0.457368388904609,"Unlabeled",0.411784939384508,0.9,NA,"",0,0,"","pRA=0.56"
"83","L-Aspartic acid","FracCont","0.5*",0.0117843209403546,1,"Labeled",0.033173980294041,0.033,0.0495346134356268,"3.3%",0,0,"P_FC=0.05*","pRA=0.01*"
"84","L-Aspartic acid","FracCont","0.5*",0.0117843209403546,1,"Unlabeled",0.966826019705959,0.967,NA,"",0,0,"","pRA=0.01*"
"85","L-Aspartic acid","FracCont","1*",0.0243258374820807,0.92286993928693,"Labeled",0.0390768061354457,0.042,0.275233524074834,"4.2%",0,0,"P_FC=0.28","pRA=0.02*"
"86","L-Aspartic acid","FracCont","1*",0.0243258374820807,0.92286993928693,"Unlabeled",0.883793133151484,0.958,NA,"",0,0,"","pRA=0.02*"
"87","L-Cysteine","FracCont","0.5*",0.0320237403504859,0.917272273156825,"Labeled",0.0156144944972885,0.017,0.0495346134356268,"1.7%",0,0,"P_FC=0.05*","pRA=0.03*"
