"","compound","datatype","cohort","P","average"
"127","Fucose","Isotopologue_C13-5","0.5",0.275233524074834,0.00488733404401442
"128","Fucose","Isotopologue_C13-5","1",0.512690760261924,0.00291694456215225
"129","Fucose","Isotopologue_C13-6","0.5",0.275233524074834,-0.00118046319243116
"130","Fucose","Isotopologue_C13-6","1",0.512690760261924,-0.000732635790463366
"131","Fumaric acid","FracCont","0.5",0.0495346134356268,0.0126830868019235
"132","Fumaric acid","FracCont","1",0.0495346134356268,0.012798191186374
"133","Fumaric acid","Isotopologue_C13-0","0.5",0.827259346562712,1.0961652461899
"134","Fumaric acid","Isotopologue_C13-0","1",0.827259346562712,1.09527155180052
"135","Fumaric acid","Isotopologue_C13-1","0.5",0.512690760261924,-0.0082377563189063
"136","Fumaric acid","Isotopologue_C13-1","1",0.827259346562712,-0.0070786657627288
"137","Fumaric acid","Isotopologue_C13-2","0.5",0.512690760261924,-0.101818004455847
"138","Fumaric acid","Isotopologue_C13-2","1",0.512690760261924,-0.101966760688818
"139","Fumaric acid","Isotopologue_C13-3","0.5",0.827259346562712,0.00482971113171058
"140","Fumaric acid","Isotopologue_C13-3","1",0.827259346562712,0.00476609086756426
"141","Fumaric acid","Isotopologue_C13-4","0.5",0.0495346134356268,0.00906080345314059
"142","Fumaric acid","Isotopologue_C13-4","1",0.0495346134356268,0.00900778378345893
"143","Galacturonic acid","FracCont","0.5",0,1.08356898899106
"144","Galacturonic acid","Isotopologue_C13-0","0.5",0,-1.2877004973915e-10
"145","Galacturonic acid","Isotopologue_C13-1","0.5",0.317310507862914,6.44086413480328e-08
"146","Galacturonic acid","Isotopologue_C13-2","0.5",1,-1.28888132131439e-05
"147","Galacturonic acid","Isotopologue_C13-3","0.5",1,0.00129006214523728
"148","Galacturonic acid","Isotopologue_C13-4","0.5",NA,-0.0646211896541531
"149","Galacturonic acid","Isotopologue_C13-5","0.5",0,1.29950873662041
"150","Galacturonic acid","Isotopologue_C13-6","0.5",0,-0.236164784578148
"151","Glucose","FracCont","0.5",0.0495346134356268,1.00659157285692
"152","Glucose","FracCont","1",0.0495346134356268,1.00458735510562
"153","Glucose","Isotopologue_C13-0","0.5",0.0495346134356268,0.00994728336066532
"154","Glucose","Isotopologue_C13-0","1",0.0495346134356268,0.0117457007775908
"155","Glucose","Isotopologue_C13-1","0.5",0.275233524074834,-1.6158389526048e-05
"156","Glucose","Isotopologue_C13-1","1",0.275233524074834,-7.10495762579283e-05
"157","Glucose","Isotopologue_C13-2","0.5",0.512690760261924,-4.80585075244702e-05
