"","compound","datatype","Isotopologue","cohort","P_RA","Abund","Fraction","label_cont","P_iso","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"301","L-Methionine","Isotopologue","C13-4","1",0.00043625714715851,1,0.00568314027513379,0.006,0.275233524074834,"0.6%",-26.998,0.7,"P_iso=0.28","pRA=0*"
"302","L-Methionine","Isotopologue","C13-5","0.5",0.00450067009637134,0.772834040923644,0,0,0.0495346134356268,"<0.05%",-28.003,0.7,"P_iso=0.05*","pRA=0*"
"303","L-Methionine","Isotopologue","C13-5","1",0.00043625714715851,1,0,0,0.0495346134356268,"<0.05%",-27.001,0.7,"P_iso=0.05*","pRA=0*"
"304","L-Phenylalanine","Isotopologue","C13-0","0.5",0.00223554299234766,0.75115732687588,0.75115732687588,1,0.126630457947616,"100%",-28.503,0,"P_iso=0.13","pRA=0*"
"305","L-Phenylalanine","Isotopologue","C13-0","1",0.000312287060432904,1,1,1,0.126630457947616,"100%",-27.501,0,"P_iso=0.13","pRA=0*"
"306","L-Phenylalanine","Isotopologue","C13-1","0.5",0.00223554299234766,0.75115732687588,0,0,0.827259346562712,"<0.05%",-29.003,0.7,"P_iso=0.83","pRA=0*"
"307","L-Phenylalanine","Isotopologue","C13-1","1",0.000312287060432904,1,0,0,0.827259346562712,"<0.05%",-28.001,0.7,"P_iso=0.83","pRA=0*"
"308","L-Phenylalanine","Isotopologue","C13-2","0.5",0.00223554299234766,0.75115732687588,0,0,0.512690760261924,"<0.05%",-29.003,0.7,"P_iso=0.51","pRA=0*"
"309","L-Phenylalanine","Isotopologue","C13-2","1",0.000312287060432904,1,0,0,0.275233524074834,"<0.05%",-28.001,0.7,"P_iso=0.28","pRA=0*"
"310","L-Phenylalanine","Isotopologue","C13-3","0.5",0.00223554299234766,0.75115732687588,0,0,0.0495346134356268,"<0.05%",-29.003,0.7,"P_iso=0.05*","pRA=0*"
"311","L-Phenylalanine","Isotopologue","C13-3","1",0.000312287060432904,1,0,0,0.0495346134356268,"<0.05%",-28.001,0.7,"P_iso=0.05*","pRA=0*"
"312","L-Phenylalanine","Isotopologue","C13-4","0.5",0.00223554299234766,0.75115732687588,0,0,0.0495346134356268,"<0.05%",-29.003,0.7,"P_iso=0.05*","pRA=0*"
"313","L-Phenylalanine","Isotopologue","C13-4","1",0.000312287060432904,1,0,0,0.0495346134356268,"<0.05%",-28.001,0.7,"P_iso=0.05*","pRA=0*"
"314","L-Phenylalanine","Isotopologue","C13-5","0.5",0.00223554299234766,0.75115732687588,0,0,0.0495346134356268,"<0.05%",-29.003,0.7,"P_iso=0.05*","pRA=0*"
"315","L-Phenylalanine","Isotopologue","C13-5","1",0.000312287060432904,1,0,0,0.0495346134356268,"<0.05%",-28.001,0.7,"P_iso=0.05*","pRA=0*"
"316","L-Phenylalanine","Isotopologue","C13-6","0.5",0.00223554299234766,0.75115732687588,0,0,0.0495346134356268,"<0.05%",-29.003,0.7,"P_iso=0.05*","pRA=0*"
"317","L-Phenylalanine","Isotopologue","C13-6","1",0.000312287060432904,1,0,0,0.0495346134356268,"<0.05%",-28.001,0.7,"P_iso=0.05*","pRA=0*"
"318","L-Phenylalanine","Isotopologue","C13-7","0.5",0.00223554299234766,0.75115732687588,0,0,0.0495346134356268,"<0.05%",-29.003,0.7,"P_iso=0.05*","pRA=0*"
"319","L-Phenylalanine","Isotopologue","C13-7","1",0.000312287060432904,1,0,0,0.0495346134356268,"<0.05%",-28.001,0.7,"P_iso=0.05*","pRA=0*"
"320","L-Phenylalanine","Isotopologue","C13-8","0.5",0.00223554299234766,0.75115732687588,0,0,0.0495346134356268,"<0.05%",-29.003,0.7,"P_iso=0.05*","pRA=0*"
"321","L-Phenylalanine","Isotopologue","C13-8","1",0.000312287060432904,1,0,0,0.0495346134356268,"<0.05%",-28.001,0.7,"P_iso=0.05*","pRA=0*"
"322","L-Phenylalanine","Isotopologue","C13-9","0.5",0.00223554299234766,0.75115732687588,0,0,0.0495346134356268,"<0.05%",-29.003,0.7,"P_iso=0.05*","pRA=0*"
"323","L-Phenylalanine","Isotopologue","C13-9","1",0.000312287060432904,1,0,0,0.0495346134356268,"<0.05%",-28.001,0.7,"P_iso=0.05*","pRA=0*"
"324","L-Proline","Isotopologue","C13-0","0.5",0.0100534224430913,0.651455395223242,0.651455395223242,1,0.0495346134356268,"100%",-29.503,0,"P_iso=0.05*","pRA=0.01*"
"325","L-Proline","Isotopologue","C13-0","1",0.000707208797789999,1,1,1,0.0495346134356268,"100%",-28.501,0,"P_iso=0.05*","pRA=0*"
"326","L-Proline","Isotopologue","C13-1","0.5",0.0100534224430913,0.651455395223242,0,0,0.827259346562712,"<0.05%",-30.003,0.7,"P_iso=0.83","pRA=0.01*"
"327","L-Proline","Isotopologue","C13-1","1",0.000707208797789999,1,0,0,0.827259346562712,"<0.05%",-29.001,0.7,"P_iso=0.83","pRA=0*"
"328","L-Proline","Isotopologue","C13-2","0.5",0.0100534224430913,0.651455395223242,0,0,0.0495346134356268,"<0.05%",-30.003,0.7,"P_iso=0.05*","pRA=0.01*"
"329","L-Proline","Isotopologue","C13-2","1",0.000707208797789999,1,0,0,0.126630457947616,"<0.05%",-29.001,0.7,"P_iso=0.13","pRA=0*"
"330","L-Proline","Isotopologue","C13-3","0.5",0.0100534224430913,0.651455395223242,0,0,0.0495346134356268,"<0.05%",-30.003,0.7,"P_iso=0.05*","pRA=0.01*"
"331","L-Proline","Isotopologue","C13-3","1",0.000707208797789999,1,0,0,0.0495346134356268,"<0.05%",-29.001,0.7,"P_iso=0.05*","pRA=0*"
"332","L-Proline","Isotopologue","C13-4","0.5",0.0100534224430913,0.651455395223242,0,0,0.0495346134356268,"<0.05%",-30.003,0.7,"P_iso=0.05*","pRA=0.01*"
"333","L-Proline","Isotopologue","C13-4","1",0.000707208797789999,1,0,0,0.0495346134356268,"<0.05%",-29.001,0.7,"P_iso=0.05*","pRA=0*"
"334","L-Proline","Isotopologue","C13-5","0.5",0.0100534224430913,0.651455395223242,0,0,0.0495346134356268,"<0.05%",-30.003,0.7,"P_iso=0.05*","pRA=0.01*"
"335","L-Proline","Isotopologue","C13-5","1",0.000707208797789999,1,0,0,0.0495346134356268,"<0.05%",-29.001,0.7,"P_iso=0.05*","pRA=0*"
"336","L-Serine","Isotopologue","C13-0","0.5",0.809767273291231,0.0881800904370903,0.0881800904370903,1,NA,"100%",-30.503,0,"","pRA=0.81"
"337","L-Serine","Isotopologue","C13-0","1",0.029069861242977,1,1,1,NA,"100%",-29.501,0,"","pRA=0.03*"
"338","L-Serine","Isotopologue","C13-1","0.5",0.809767273291231,0.0881800904370903,0,0,NA,"<0.05%",-31.003,0.7,"","pRA=0.81"
"339","L-Serine","Isotopologue","C13-1","1",0.029069861242977,1,0,0,NA,"<0.05%",-30.001,0.7,"","pRA=0.03*"
"340","L-Serine","Isotopologue","C13-2","0.5",0.809767273291231,0.0881800904370903,0,0,NA,"<0.05%",-31.003,0.7,"","pRA=0.81"
"341","L-Serine","Isotopologue","C13-2","1",0.029069861242977,1,0,0,NA,"<0.05%",-30.001,0.7,"","pRA=0.03*"
"342","L-Serine","Isotopologue","C13-3","0.5",0.809767273291231,0.0881800904370903,0,0,NA,"<0.05%",-31.003,0.7,"","pRA=0.81"
"343","L-Serine","Isotopologue","C13-3","1",0.029069861242977,1,0,0,NA,"<0.05%",-30.001,0.7,"","pRA=0.03*"
"344","L-Threonine","Isotopologue","C13-0","0.5",0.0108308436428975,0.549763977967079,0.549763977967079,1,0.0495346134356268,"100%",-31.503,0,"P_iso=0.05*","pRA=0.01*"
"345","L-Threonine","Isotopologue","C13-0","1",0.000101600274901548,1,1,1,0.0495346134356268,"100%",-30.501,0,"P_iso=0.05*","pRA=0*"
"346","L-Threonine","Isotopologue","C13-1","0.5",0.0108308436428975,0.549763977967079,0,0,0.275233524074834,"<0.05%",-32.003,0.7,"P_iso=0.28","pRA=0.01*"
"347","L-Threonine","Isotopologue","C13-1","1",0.000101600274901548,1,0,0,0.275233524074834,"<0.05%",-31.001,0.7,"P_iso=0.28","pRA=0*"
"348","L-Threonine","Isotopologue","C13-2","0.5",0.0108308436428975,0.549763977967079,0,0,0.275233524074834,"<0.05%",-32.003,0.7,"P_iso=0.28","pRA=0.01*"
"349","L-Threonine","Isotopologue","C13-2","1",0.000101600274901548,1,0,0,0.0495346134356268,"<0.05%",-31.001,0.7,"P_iso=0.05*","pRA=0*"
"350","L-Threonine","Isotopologue","C13-3","0.5",0.0108308436428975,0.549763977967079,0,0,0.0495346134356268,"<0.05%",-32.003,0.7,"P_iso=0.05*","pRA=0.01*"
"351","L-Threonine","Isotopologue","C13-3","1",0.000101600274901548,1,0,0,0.0495346134356268,"<0.05%",-31.001,0.7,"P_iso=0.05*","pRA=0*"
"352","L-Threonine","Isotopologue","C13-4","0.5",0.0108308436428975,0.549763977967079,0,0,0.0495346134356268,"<0.05%",-32.003,0.7,"P_iso=0.05*","pRA=0.01*"
"353","L-Threonine","Isotopologue","C13-4","1",0.000101600274901548,1,0,0,0.0495346134356268,"<0.05%",-31.001,0.7,"P_iso=0.05*","pRA=0*"
"354","L-Tryptophan","Isotopologue","C13-0","0.5",0.0110409528776583,0.727017694842146,0.727017694842146,1,0.0495346134356268,"100%",-32.503,0,"P_iso=0.05*","pRA=0.01*"
"355","L-Tryptophan","Isotopologue","C13-0","1",0.00134635268766288,1,1,1,0.0495346134356268,"100%",-31.501,0,"P_iso=0.05*","pRA=0*"
"356","L-Tryptophan","Isotopologue","C13-1","0.5",0.0110409528776583,0.727017694842146,0,0,0.126630457947616,"<0.05%",-33.003,0.7,"P_iso=0.13","pRA=0.01*"
"357","L-Tryptophan","Isotopologue","C13-1","1",0.00134635268766288,1,0,0,0.126630457947616,"<0.05%",-32.001,0.7,"P_iso=0.13","pRA=0*"
"358","L-Tryptophan","Isotopologue","C13-10","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"359","L-Tryptophan","Isotopologue","C13-10","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"360","L-Tryptophan","Isotopologue","C13-11","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"361","L-Tryptophan","Isotopologue","C13-11","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"362","L-Tryptophan","Isotopologue","C13-2","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"363","L-Tryptophan","Isotopologue","C13-2","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"364","L-Tryptophan","Isotopologue","C13-3","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"365","L-Tryptophan","Isotopologue","C13-3","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"366","L-Tryptophan","Isotopologue","C13-4","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"367","L-Tryptophan","Isotopologue","C13-4","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"368","L-Tryptophan","Isotopologue","C13-5","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"369","L-Tryptophan","Isotopologue","C13-5","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"370","L-Tryptophan","Isotopologue","C13-6","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"371","L-Tryptophan","Isotopologue","C13-6","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"372","L-Tryptophan","Isotopologue","C13-7","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"373","L-Tryptophan","Isotopologue","C13-7","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"374","L-Tryptophan","Isotopologue","C13-8","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"375","L-Tryptophan","Isotopologue","C13-8","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"376","L-Tryptophan","Isotopologue","C13-9","0.5",0.0110409528776583,0.727017694842146,0,0,0.0495346134356268,"<0.05%",-33.003,0.7,"P_iso=0.05*","pRA=0.01*"
"377","L-Tryptophan","Isotopologue","C13-9","1",0.00134635268766288,1,0,0,0.0495346134356268,"<0.05%",-32.001,0.7,"P_iso=0.05*","pRA=0*"
"378","L-Tyrosine","Isotopologue","C13-0","0.5",0.0111098349674592,0.631045884377248,0.572880376713926,0.908,0.0495346134356268,"90.8%",-33.457,0.7,"P_iso=0.05*","pRA=0.01*"
"379","L-Tyrosine","Isotopologue","C13-0","1",0.000754867282300661,1,0.966858072165029,0.967,0.0495346134356268,"96.7%",-32.4845,0.7,"P_iso=0.05*","pRA=0*"
"380","L-Tyrosine","Isotopologue","C13-1","0.5",0.0111098349674592,0.631045884377248,0.0581655076633224,0.092,0.0495346134356268,"9.2%",-33.957,0.7,"P_iso=0.05*","pRA=0.01*"
"381","L-Tyrosine","Isotopologue","C13-1","1",0.000754867282300661,1,0.0331419278349715,0.033,0.0495346134356268,"3.3%",-32.9845,0.7,"P_iso=0.05*","pRA=0*"
"382","L-Tyrosine","Isotopologue","C13-2","0.5",0.0111098349674592,0.631045884377248,0,0,0.0495346134356268,"<0.05%",-34.003,0.7,"P_iso=0.05*","pRA=0.01*"
"383","L-Tyrosine","Isotopologue","C13-2","1",0.000754867282300661,1,0,0,0.0495346134356268,"<0.05%",-33.001,0.7,"P_iso=0.05*","pRA=0*"
"384","L-Tyrosine","Isotopologue","C13-3","0.5",0.0111098349674592,0.631045884377248,0,0,0.275233524074834,"<0.05%",-34.003,0.7,"P_iso=0.28","pRA=0.01*"
"385","L-Tyrosine","Isotopologue","C13-3","1",0.000754867282300661,1,0,0,0.126630457947616,"<0.05%",-33.001,0.7,"P_iso=0.13","pRA=0*"
"386","L-Tyrosine","Isotopologue","C13-4","0.5",0.0111098349674592,0.631045884377248,0,0,0.0495346134356268,"<0.05%",-34.003,0.7,"P_iso=0.05*","pRA=0.01*"
"387","L-Tyrosine","Isotopologue","C13-4","1",0.000754867282300661,1,0,0,0.0495346134356268,"<0.05%",-33.001,0.7,"P_iso=0.05*","pRA=0*"
"388","L-Tyrosine","Isotopologue","C13-5","0.5",0.0111098349674592,0.631045884377248,0,0,0.275233524074834,"<0.05%",-34.003,0.7,"P_iso=0.28","pRA=0.01*"
"389","L-Tyrosine","Isotopologue","C13-5","1",0.000754867282300661,1,0,0,0.0495346134356268,"<0.05%",-33.001,0.7,"P_iso=0.05*","pRA=0*"
"390","L-Tyrosine","Isotopologue","C13-6","0.5",0.0111098349674592,0.631045884377248,0,0,0.827259346562712,"<0.05%",-34.003,0.7,"P_iso=0.83","pRA=0.01*"
"391","L-Tyrosine","Isotopologue","C13-6","1",0.000754867282300661,1,0,0,0.512690760261924,"<0.05%",-33.001,0.7,"P_iso=0.51","pRA=0*"
"392","L-Tyrosine","Isotopologue","C13-7","0.5",0.0111098349674592,0.631045884377248,0,0,0.827259346562712,"<0.05%",-34.003,0.7,"P_iso=0.83","pRA=0.01*"
"393","L-Tyrosine","Isotopologue","C13-7","1",0.000754867282300661,1,0,0,0.512690760261924,"<0.05%",-33.001,0.7,"P_iso=0.51","pRA=0*"
"394","L-Tyrosine","Isotopologue","C13-8","0.5",0.0111098349674592,0.631045884377248,0,0,0.827259346562712,"<0.05%",-34.003,0.7,"P_iso=0.83","pRA=0.01*"
"395","L-Tyrosine","Isotopologue","C13-8","1",0.000754867282300661,1,0,0,0.512690760261924,"<0.05%",-33.001,0.7,"P_iso=0.51","pRA=0*"
"396","L-Tyrosine","Isotopologue","C13-9","0.5",0.0111098349674592,0.631045884377248,0,0,0.275233524074834,"<0.05%",-34.003,0.7,"P_iso=0.28","pRA=0.01*"
"397","L-Tyrosine","Isotopologue","C13-9","1",0.000754867282300661,1,0,0,0.827259346562712,"<0.05%",-33.001,0.7,"P_iso=0.83","pRA=0*"
"398","L-Valine","Isotopologue","C13-0","0.5",0.00330088990399284,0.593831466898271,0.589116180078007,0.992,0.0495346134356268,"99.2%",-34.499,0.7,"P_iso=0.05*","pRA=0*"
"399","L-Valine","Isotopologue","C13-0","1",6.49224639087752e-05,1,0.994151864719825,0.994,0.0495346134356268,"99.4%",-33.498,0.7,"P_iso=0.05*","pRA=0*"
"400","L-Valine","Isotopologue","C13-1","0.5",0.00330088990399284,0.593831466898271,0,0,0.126630457947616,"<0.05%",-34.995,0.7,"P_iso=0.13","pRA=0*"
"401","L-Valine","Isotopologue","C13-1","1",6.49224639087752e-05,1,0,0,0.126630457947616,"<0.05%",-33.995,0.7,"P_iso=0.13","pRA=0*"
"402","L-Valine","Isotopologue","C13-2","0.5",0.00330088990399284,0.593831466898271,0,0,0.275233524074834,"<0.05%",-34.995,0.7,"P_iso=0.28","pRA=0*"
"403","L-Valine","Isotopologue","C13-2","1",6.49224639087752e-05,1,0,0,0.275233524074834,"<0.05%",-33.995,0.7,"P_iso=0.28","pRA=0*"
"404","L-Valine","Isotopologue","C13-3","0.5",0.00330088990399284,0.593831466898271,0.00471528682026478,0.008,0.0495346134356268,"0.8%",-34.999,0.7,"P_iso=0.05*","pRA=0*"
"405","L-Valine","Isotopologue","C13-3","1",6.49224639087752e-05,1,0.00584813528017542,0.006,0.0495346134356268,"0.6%",-33.998,0.7,"P_iso=0.05*","pRA=0*"
"406","L-Valine","Isotopologue","C13-4","0.5",0.00330088990399284,0.593831466898271,0,0,0.0495346134356268,"<0.05%",-35.003,0.7,"P_iso=0.05*","pRA=0*"
"407","L-Valine","Isotopologue","C13-4","1",6.49224639087752e-05,1,0,0,0.0495346134356268,"<0.05%",-34.001,0.7,"P_iso=0.05*","pRA=0*"
"408","L-Valine","Isotopologue","C13-5","0.5",0.00330088990399284,0.593831466898271,0,0,0.0495346134356268,"<0.05%",-35.003,0.7,"P_iso=0.05*","pRA=0*"
"409","L-Valine","Isotopologue","C13-5","1",6.49224639087752e-05,1,0,0,0.0495346134356268,"<0.05%",-34.001,0.7,"P_iso=0.05*","pRA=0*"
"410","Mannitol","Isotopologue","C13-0","0.5",0.28349494865112,1,0.936907610755145,0.937,0.512690760261924,"93.7%",-35.4715,0.7,"P_iso=0.51","pRA=0.28"
"411","Mannitol","Isotopologue","C13-0","1",0.871555756768525,0.585882030524637,0.536278839207777,0.915,0.512690760261924,"91.5%",-34.4585,0.7,"P_iso=0.51","pRA=0.87"
"412","Mannitol","Isotopologue","C13-1","0.5",0.28349494865112,1,0,0,0.512690760261924,"<0.05%",-35.94,0.7,"P_iso=0.51","pRA=0.28"
"413","Mannitol","Isotopologue","C13-1","1",0.871555756768525,0.585882030524637,0,0,0.506555169049041,"<0.05%",-34.916,0.7,"P_iso=0.51","pRA=0.87"
"414","Mannitol","Isotopologue","C13-2","0.5",0.28349494865112,1,0,0,0.512690760261924,"<0.05%",-35.94,0.7,"P_iso=0.51","pRA=0.28"
"415","Mannitol","Isotopologue","C13-2","1",0.871555756768525,0.585882030524637,0,0,0.375825087488698,"<0.05%",-34.916,0.7,"P_iso=0.38","pRA=0.87"
"416","Mannitol","Isotopologue","C13-3","0.5",0.28349494865112,1,0.0447610685037217,0.045,0.512690760261924,"4.5%",-35.9625,0.7,"P_iso=0.51","pRA=0.28"
"417","Mannitol","Isotopologue","C13-3","1",0.871555756768525,0.585882030524637,0.0440157949559179,0.075,0.506555169049041,"7.5%",-34.9535,0.7,"P_iso=0.51","pRA=0.87"
"418","Mannitol","Isotopologue","C13-4","0.5",0.28349494865112,1,0.0183313207411329,0.018,0.512690760261924,"1.8%",-35.994,0.7,"P_iso=0.51","pRA=0.28"
"419","Mannitol","Isotopologue","C13-4","1",0.871555756768525,0.585882030524637,0.0055873963609421,0.01,0.824778095082514,"1%",-34.996,0.7,"P_iso=0.82","pRA=0.87"
"420","Mannitol","Isotopologue","C13-5","0.5",0.28349494865112,1,0,0,0.512690760261924,"<0.05%",-36.003,0.7,"P_iso=0.51","pRA=0.28"
"421","Mannitol","Isotopologue","C13-5","1",0.871555756768525,0.585882030524637,0,0,0.506555169049041,"<0.05%",-35.001,0.7,"P_iso=0.51","pRA=0.87"
"422","Mannitol","Isotopologue","C13-6","0.5",0.28349494865112,1,0,0,0.275233524074834,"<0.05%",-36.003,0.7,"P_iso=0.28","pRA=0.28"
"423","Mannitol","Isotopologue","C13-6","1",0.871555756768525,0.585882030524637,0,0,0.268285883677117,"<0.05%",-35.001,0.7,"P_iso=0.27","pRA=0.87"
"424","Myo-inositol","Isotopologue","C13-0","0.5",0.236852719120091,1,1,1,0.512690760261924,"100%",-36.503,0,"P_iso=0.51","pRA=0.24"
"425","Myo-inositol","Isotopologue","C13-0","1",0.594324914256703,0.829211708806583,0.829211708806583,1,0.827259346562712,"100%",-35.501,0,"P_iso=0.83","pRA=0.59"
"426","Myo-inositol","Isotopologue","C13-1","0.5",0.236852719120091,1,0,0,0.275233524074834,"<0.05%",-37.003,0.7,"P_iso=0.28","pRA=0.24"
"427","Myo-inositol","Isotopologue","C13-1","1",0.594324914256703,0.829211708806583,0,0,0.827259346562712,"<0.05%",-36.001,0.7,"P_iso=0.83","pRA=0.59"
"428","Myo-inositol","Isotopologue","C13-2","0.5",0.236852719120091,1,0,0,0.275233524074834,"<0.05%",-37.003,0.7,"P_iso=0.28","pRA=0.24"
"429","Myo-inositol","Isotopologue","C13-2","1",0.594324914256703,0.829211708806583,0,0,0.512690760261924,"<0.05%",-36.001,0.7,"P_iso=0.51","pRA=0.59"
"430","Myo-inositol","Isotopologue","C13-3","0.5",0.236852719120091,1,0,0,0.827259346562712,"<0.05%",-37.003,0.7,"P_iso=0.83","pRA=0.24"
"431","Myo-inositol","Isotopologue","C13-3","1",0.594324914256703,0.829211708806583,0,0,0.512690760261924,"<0.05%",-36.001,0.7,"P_iso=0.51","pRA=0.59"
"432","Myo-inositol","Isotopologue","C13-4","0.5",0.236852719120091,1,0,0,0.827259346562712,"<0.05%",-37.003,0.7,"P_iso=0.83","pRA=0.24"
"433","Myo-inositol","Isotopologue","C13-4","1",0.594324914256703,0.829211708806583,0,0,0.827259346562712,"<0.05%",-36.001,0.7,"P_iso=0.83","pRA=0.59"
"434","Myo-inositol","Isotopologue","C13-5","0.5",0.236852719120091,1,0,0,0.275233524074834,"<0.05%",-37.003,0.7,"P_iso=0.28","pRA=0.24"
"435","Myo-inositol","Isotopologue","C13-5","1",0.594324914256703,0.829211708806583,0,0,0.827259346562712,"<0.05%",-36.001,0.7,"P_iso=0.83","pRA=0.59"
"436","Myo-inositol","Isotopologue","C13-6","0.5",0.236852719120091,1,0,0,0.827259346562712,"<0.05%",-37.003,0.7,"P_iso=0.83","pRA=0.24"
"437","Myo-inositol","Isotopologue","C13-6","1",0.594324914256703,0.829211708806583,0,0,0.827259346562712,"<0.05%",-36.001,0.7,"P_iso=0.83","pRA=0.59"
"438","Oxoadipic acid","Isotopologue","C13-0","0.5",0.5448887923888,0.42357466048347,0.416142113124571,0.982,0,"98.2%",-37.494,0.7,"P_iso=0*","pRA=0.54"
"439","Oxoadipic acid","Isotopologue","C13-0","1",0.529115296057238,0.400002357561824,0.392983438009706,0.982,0,"98.2%",-36.492,0.7,"P_iso=0*","pRA=0.53"
"440","Oxoadipic acid","Isotopologue","C13-1","0.5",0.5448887923888,0.42357466048347,0,0,0,"<0.05%",-37.985,0.7,"P_iso=0*","pRA=0.54"
"441","Oxoadipic acid","Isotopologue","C13-1","1",0.529115296057238,0.400002357561824,0,0,0,"<0.05%",-36.983,0.7,"P_iso=0*","pRA=0.53"
"442","Oxoadipic acid","Isotopologue","C13-2","0.5",0.5448887923888,0.42357466048347,0,0,0,"<0.05%",-37.985,0.7,"P_iso=0*","pRA=0.54"
"443","Oxoadipic acid","Isotopologue","C13-2","1",0.529115296057238,0.400002357561824,0,0,0,"<0.05%",-36.983,0.7,"P_iso=0*","pRA=0.53"
"444","Oxoadipic acid","Isotopologue","C13-3","0.5",0.5448887923888,0.42357466048347,0.00743254735889816,0.018,0,"1.8%",-37.994,0.7,"P_iso=0*","pRA=0.54"
"445","Oxoadipic acid","Isotopologue","C13-3","1",0.529115296057238,0.400002357561824,0.00701891955211801,0.018,0,"1.8%",-36.992,0.7,"P_iso=0*","pRA=0.53"
"446","Oxoadipic acid","Isotopologue","C13-4","0.5",0.5448887923888,0.42357466048347,0,0,0,"<0.05%",-38.003,0.7,"P_iso=0*","pRA=0.54"
"447","Oxoadipic acid","Isotopologue","C13-4","1",0.529115296057238,0.400002357561824,0,0,1,"<0.05%",-37.001,0.7,"P_iso=1","pRA=0.53"
"448","Oxoadipic acid","Isotopologue","C13-5","0.5",0.5448887923888,0.42357466048347,0,0,0,"<0.05%",-38.003,0.7,"P_iso=0*","pRA=0.54"
"449","Oxoadipic acid","Isotopologue","C13-5","1",0.529115296057238,0.400002357561824,0,0,0,"<0.05%",-37.001,0.7,"P_iso=0*","pRA=0.53"
"450","Oxoadipic acid","Isotopologue","C13-6","0.5",0.5448887923888,0.42357466048347,0,0,0,"<0.05%",-38.003,0.7,"P_iso=0*","pRA=0.54"
"451","Oxoadipic acid","Isotopologue","C13-6","1",0.529115296057238,0.400002357561824,0,0,0,"<0.05%",-37.001,0.7,"P_iso=0*","pRA=0.53"
"452","Oxoglutaric acid","Isotopologue","C13-0","0.5",0.00417735552042955,1,1,1,0.0495346134356268,"100%",-38.503,0,"P_iso=0.05*","pRA=0*"
"453","Oxoglutaric acid","Isotopologue","C13-0","1",0.0182879954611595,0.824437224497812,0.824437224497812,1,0.126630457947616,"100%",-37.501,0,"P_iso=0.13","pRA=0.02*"
"454","Oxoglutaric acid","Isotopologue","C13-1","0.5",0.00417735552042955,1,0,0,0.0495346134356268,"<0.05%",-39.003,0.7,"P_iso=0.05*","pRA=0*"
"455","Oxoglutaric acid","Isotopologue","C13-1","1",0.0182879954611595,0.824437224497812,0,0,0.827259346562712,"<0.05%",-38.001,0.7,"P_iso=0.83","pRA=0.02*"
"456","Oxoglutaric acid","Isotopologue","C13-2","0.5",0.00417735552042955,1,0,0,0.0495346134356268,"<0.05%",-39.003,0.7,"P_iso=0.05*","pRA=0*"
"457","Oxoglutaric acid","Isotopologue","C13-2","1",0.0182879954611595,0.824437224497812,0,0,0.0495346134356268,"<0.05%",-38.001,0.7,"P_iso=0.05*","pRA=0.02*"
"458","Oxoglutaric acid","Isotopologue","C13-3","0.5",0.00417735552042955,1,0,0,0.275233524074834,"<0.05%",-39.003,0.7,"P_iso=0.28","pRA=0*"
"459","Oxoglutaric acid","Isotopologue","C13-3","1",0.0182879954611595,0.824437224497812,0,0,0.126630457947616,"<0.05%",-38.001,0.7,"P_iso=0.13","pRA=0.02*"
