"","compound","datatype","Isotopologue","cohort","P_RA","Abund","Fraction","label_cont","P_iso","lab_label","lablab_posAngle","lablab_posDist","P_lablab","P_RAlab"
"43","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-1","0.5",0.000135399012797667,0.825929399711838,0,0,0.126630457947616,"<0.05%",-4.93,0.7,"P_iso=0.13","pRA=0*"
"44","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-1","1",3.06472383182673e-05,1,0,0,0.126630457947616,"<0.05%",-4.916,0.7,"P_iso=0.13","pRA=0*"
"45","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-2","0.5",0.000135399012797667,0.825929399711838,0,0,0.0495346134356268,"<0.05%",-4.93,0.7,"P_iso=0.05*","pRA=0*"
"46","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-2","1",3.06472383182673e-05,1,0,0,0.0495346134356268,"<0.05%",-4.916,0.7,"P_iso=0.05*","pRA=0*"
"47","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-3","0.5",0.000135399012797667,0.825929399711838,0.0588814111733212,0.071,0.0495346134356268,"7.1%",-4.9655,0.7,"P_iso=0.05*","pRA=0*"
"48","D-Glyceraldehyde 3-phosphate","Isotopologue","C13-3","1",3.06472383182673e-05,1,0.083528083788076,0.084,0.0495346134356268,"8.4%",-4.958,0.7,"P_iso=0.05*","pRA=0*"
"49","DL-2-Hydroxyglutaric acid","Isotopologue","C13-0","0.5",0.643859280326447,1,1,1,0.827259346562712,"100%",-5.501,0,"P_iso=0.83","pRA=0.64"
"50","DL-2-Hydroxyglutaric acid","Isotopologue","C13-0","1",0.999093310470605,0.904069332995955,0.904069332995955,1,0.275233524074834,"100%",-5.5,0,"P_iso=0.28","pRA=1"
"51","DL-2-Hydroxyglutaric acid","Isotopologue","C13-1","0.5",0.643859280326447,1,0,0,0.512690760261924,"<0.05%",-6.001,0.7,"P_iso=0.51","pRA=0.64"
"52","DL-2-Hydroxyglutaric acid","Isotopologue","C13-1","1",0.999093310470605,0.904069332995955,0,0,0.0495346134356268,"<0.05%",-6,0.7,"P_iso=0.05*","pRA=1"
"53","DL-2-Hydroxyglutaric acid","Isotopologue","C13-2","0.5",0.643859280326447,1,0,0,0.827259346562712,"<0.05%",-6.001,0.7,"P_iso=0.83","pRA=0.64"
"54","DL-2-Hydroxyglutaric acid","Isotopologue","C13-2","1",0.999093310470605,0.904069332995955,0,0,0.827259346562712,"<0.05%",-6,0.7,"P_iso=0.83","pRA=1"
"55","DL-2-Hydroxyglutaric acid","Isotopologue","C13-3","0.5",0.643859280326447,1,0,0,0.126630457947616,"<0.05%",-6.001,0.7,"P_iso=0.13","pRA=0.64"
"56","DL-2-Hydroxyglutaric acid","Isotopologue","C13-3","1",0.999093310470605,0.904069332995955,0,0,0.827259346562712,"<0.05%",-6,0.7,"P_iso=0.83","pRA=1"
"57","DL-2-Hydroxyglutaric acid","Isotopologue","C13-4","0.5",0.643859280326447,1,0,0,0.275233524074834,"<0.05%",-6.001,0.7,"P_iso=0.28","pRA=0.64"
"58","DL-2-Hydroxyglutaric acid","Isotopologue","C13-4","1",0.999093310470605,0.904069332995955,0,0,0.512690760261924,"<0.05%",-6,0.7,"P_iso=0.51","pRA=1"
"59","DL-2-Hydroxyglutaric acid","Isotopologue","C13-5","0.5",0.643859280326447,1,0,0,0.275233524074834,"<0.05%",-6.001,0.7,"P_iso=0.28","pRA=0.64"
"60","DL-2-Hydroxyglutaric acid","Isotopologue","C13-5","1",0.999093310470605,0.904069332995955,0,0,0.827259346562712,"<0.05%",-6,0.7,"P_iso=0.83","pRA=1"
"61","Dihydroxyacetone phosphate","Isotopologue","C13-0","0.5",2.80865888351384e-05,1,0.894055358741714,0.894,0.0495346134356268,"89.4%",-6.448,0.7,"P_iso=0.05*","pRA=0*"
"62","Dihydroxyacetone phosphate","Isotopologue","C13-0","1",3.01740680429738e-05,0.991280571059803,0.895756896867596,0.904,0.0495346134356268,"90.4%",-6.452,0.7,"P_iso=0.05*","pRA=0*"
"63","Dihydroxyacetone phosphate","Isotopologue","C13-1","0.5",2.80865888351384e-05,1,0,0,0.0495346134356268,"<0.05%",-6.895,0.7,"P_iso=0.05*","pRA=0*"
"64","Dihydroxyacetone phosphate","Isotopologue","C13-1","1",3.01740680429738e-05,0.991280571059803,0,0,0.0495346134356268,"<0.05%",-6.904,0.7,"P_iso=0.05*","pRA=0*"
"65","Dihydroxyacetone phosphate","Isotopologue","C13-2","0.5",2.80865888351384e-05,1,0,0,0.512690760261924,"<0.05%",-6.895,0.7,"P_iso=0.51","pRA=0*"
"66","Dihydroxyacetone phosphate","Isotopologue","C13-2","1",3.01740680429738e-05,0.991280571059803,0,0,0.827259346562712,"<0.05%",-6.904,0.7,"P_iso=0.83","pRA=0*"
"67","Dihydroxyacetone phosphate","Isotopologue","C13-3","0.5",2.80865888351384e-05,1,0.105944641258286,0.106,0.0495346134356268,"10.6%",-6.948,0.7,"P_iso=0.05*","pRA=0*"
"68","Dihydroxyacetone phosphate","Isotopologue","C13-3","1",3.01740680429738e-05,0.991280571059803,0.095523674192207,0.096,0.0495346134356268,"9.6%",-6.952,0.7,"P_iso=0.05*","pRA=0*"
"69","Fructose","Isotopologue","C13-0","0.5",0.293056104198435,1,0.714796656105297,0.715,0.0495346134356268,"71.5%",-7.3585,0.7,"P_iso=0.05*","pRA=0.29"
"70","Fructose","Isotopologue","C13-0","1",0.758683831929515,0.837487726637912,0.610457046755578,0.729,0.512690760261924,"72.9%",-7.3645,0.7,"P_iso=0.51","pRA=0.76"
"71","Fructose","Isotopologue","C13-1","0.5",0.293056104198435,1,0,0,0.275233524074834,"<0.05%",-7.716,0.7,"P_iso=0.28","pRA=0.29"
"72","Fructose","Isotopologue","C13-1","1",0.758683831929515,0.837487726637912,0,0,0.275233524074834,"<0.05%",-7.729,0.7,"P_iso=0.28","pRA=0.76"
"73","Fructose","Isotopologue","C13-2","0.5",0.293056104198435,1,0,0,0.512690760261924,"<0.05%",-7.716,0.7,"P_iso=0.51","pRA=0.29"
"74","Fructose","Isotopologue","C13-2","1",0.758683831929515,0.837487726637912,0,0,0.512690760261924,"<0.05%",-7.729,0.7,"P_iso=0.51","pRA=0.76"
"75","Fructose","Isotopologue","C13-3","0.5",0.293056104198435,1,0,0,0.0495346134356268,"<0.05%",-7.716,0.7,"P_iso=0.05*","pRA=0.29"
